rank,stadium,capacity,city,state,year_opened,type,tenant(s),image,location
376,Mitchell Stadium,10000,Bluefield,West Virginia,1936,Football,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Mitchell_Stadium_2014.jpg/150px-Mitchell_Stadium_2014.jpg,"[37.2507888, 37.2507888]"
377,Howard J. Lamade Stadium,1000044,South Williamsport,Pennsylvania,1959,Baseball,Little League World Series,No Image,"[41.2304109, 41.2304109]"
378,Hughes Stadium,10000,Baltimore,Maryland,1937,Football,Morgan State Bears (NCAA),No Image,"[39.34390705, 39.34390705]"
379,Estes Stadium,10000,Conway,Arkansas,1939,Football,Central Arkansas Bears (NCAA),No Image,"[35.0802781, 35.0802781]"
380,Fortera Stadium,10000,Clarksville,Tennessee,1946,Football,Austin Peay Governors (NCAA),No Image,"[36.53644025, 36.53644025]"
381,Alfond Stadium,10000,Orono,Maine,1947,Football,Maine Black Bears (NCAA),No Image,"[44.9050244, 44.9050244]"
382,FirstEnergy Stadium,10000,Reading,Pennsylvania,1951,Baseball,Reading Fightin Phils (Eastern),No Image,"[40.3657177, 40.3657177]"
383,Howard Wood Field,10000,Sioux Falls,South Dakota,1957,"Football, soccer",,No Image,"[43.5626409, 43.5626409]"
384,Rice–Totten Stadium,10000,Itta Bena,Mississippi,1958,Football,Mississippi Valley State Delta Devils (NCAA),No Image,
385,Alumni Memorial Field,10000,Lexington,Virginia,1962,Football,VMI Keydets (NCAA),No Image,"[37.78904435, 37.78904435]"
386,Jayne Stadium,10000,Morehead,Kentucky,1964,Football,Morehead State Eagles (NCAA),No Image,"[38.19210315, 38.19210315]"
387,O'Brien Field,10000,Charleston,Illinois,1970,Football,Eastern Illinois Panthers (NCAA),No Image,"[39.48048275, 39.48048275]"
388,O'Kelly–Riddick Stadium,10000,Durham,North Carolina,1975,Football,"North Carolina Central Eagles (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/NCCU%27s_O%27Kelly-Riddick_Stadium.JPG/150px-NCCU%27s_O%27Kelly-Riddick_Stadium.JPG,"[35.9738768, 35.9738768]"
